Timestamp,B1_RMS,B1_Kurtosis,B1_Peak2Peak,B1_CrestFactor,B2_RMS,B2_Kurtosis,B2_Peak2Peak,B2_CrestFactor,B3_RMS,B3_Kurtosis,B3_Peak2Peak,B3_CrestFactor,B4_RMS,B4_Kurtosis,B4_Peak2Peak,B4_CrestFactor
2004.02.12.10.32.39,0.07417899856512623,3.6287626426442556,0.8400000000000001,6.120330670161392,0.09094388696428075,3.5068005370841773,0.9770000000000001,5.640840930864178,0.10940413919878957,6.213074668222574,1.934,9.350651698298067,0.05410346803954669,3.065959051148628,0.457,4.879539326518411
2004.02.12.10.42.39,0.07538245681139528,3.6482910813108558,0.757,5.147086157867801,0.09341888819652586,3.2530137693762384,0.938,5.1488516860542966,0.10981733168262023,4.395249937981535,1.433,6.847735129581664,0.05610085870694182,3.1075393316008175,0.478,4.43843473592302
2004.02.12.10.52.39,0.07622977446919937,3.513475308823207,0.903,6.5984715749518195,0.0937178978891739,3.310789228477664,0.994,5.367171173587597,0.10986104971344769,5.639947862656676,1.719,8.492545833428304,0.0561452192491155,3.2572364127659483,0.688,6.305078237014397
2004.02.12.11.02.39,0.07872367646602975,4.157952723004808,1.184,7.723216537814511,0.09294709910708282,3.2353407404249004,1.043,6.121761792097077,0.11066653439923697,5.682779117744172,1.951,9.1807338642657,0.05680743024340545,3.8061900787493554,1.038,9.24174879501692
2004.02.12.11.12.39,0.07847429073677968,3.6031769286310373,0.782,4.982523528775831,0.09534796855424806,3.226308794897708,0.938,5.097119606942555,0.1075055998723148,4.578394652033609,1.516,7.171719435226839,0.05684094146786386,3.1389537967943335,0.45599999999999996,4.292680481690301
2004.02.12.11.22.39,0.07831464139380724,3.4560936214628657,0.8049999999999999,5.605592928562067,0.09240471945595839,3.185637597226223,0.96,6.211803935767348,0.11051722747318346,4.862428153168341,1.643,7.7996889689361835,0.05556592676089255,3.1494073383771934,0.489,4.445170168093719
2004.02.12.11.32.39,0.07863244325857172,3.4786149756059883,0.796,5.18869798638139,0.09391848531980072,3.250108395551298,1.04,6.207510672843941,0.10738791213109138,4.822032978692291,1.6139999999999999,8.343583390523769,0.05627907668624504,3.10779375483253,0.45599999999999996,4.246693692798502
2004.02.12.11.42.39,0.07777288022464836,3.4719824550317826,0.749,5.336050289011607,0.09324051612714428,3.103750449214156,0.82,4.397230056523039,0.10623263552958902,4.444896365998774,1.5470000000000002,7.3047232249439995,0.05550468422307368,3.209791004669348,0.456,4.125777908755368
2004.02.12.11.52.39,0.07902942984262255,3.404514320897305,0.747,4.884256419015951,0.09585924383650357,3.451426406817476,1.07,6.394792776015694,0.11058641872246056,5.384554056923434,1.736,8.744292573818544,0.05585509861253156,3.1598373115450946,0.557,5.908144613425886
2004.02.12.12.02.39,0.07571755989830316,3.32520331504832,0.722,4.992236946194446,0.09474187125009063,3.196032358893337,0.883,4.918627781478976,0.10977074854590418,4.461505733410514,1.445,7.114828042494396,0.0554596132439803,3.206106647540921,0.5449999999999999,5.247061473721794
2004.02.12.12.12.39,0.07924111648011797,3.4552119318712826,0.815,5.237180121056545,0.09514610526793123,3.170057774777056,0.793,4.204060679873347,0.10602371468766728,4.101443643754075,1.218,5.753429803860244,0.05552349455199686,3.1744089633248347,0.54,5.241024585141758
2004.02.12.12.22.39,0.077638908086269,3.6415150749455005,0.913,6.105186325821477,0.09332906725625129,3.059147619623621,0.8180000000000001,4.446631817936687,0.10460412281437871,4.636098548686239,1.595,8.288392241847886,0.054774163029177134,3.1100550414613757,0.505,5.038872065520749
2004.02.12.12.32.39,0.07740458087623109,3.364726038214265,0.778,5.167652811654581,0.09438051851622042,3.29046220658734,1.045,6.516175262316501,0.10442234914975398,4.154522513380347,1.213,5.889543809419738,0.05468983164672273,3.0449189911528483,0.456,4.278674718027266
2004.02.12.12.42.39,0.07986468720103242,3.5982531546782233,0.852,5.409149088790465,0.09484019788447104,3.106320661930734,0.776,4.39686977992144,0.10489408069125017,4.541465599186472,1.326,6.520863670213342,0.0562540167836651,3.102383681106627,0.513,4.72855122546983
2004.02.12.12.52.39,0.07921698007145074,3.5511103583412886,0.8049999999999999,5.327140716792938,0.09478245161824854,3.140248542336724,0.847,4.863769528316815,0.10366273438415563,4.215237462759629,1.37,6.665847704144838,0.05563200491356684,3.079900045208742,0.447,4.080385029313263
2004.02.12.13.02.39,0.07866177721938719,3.5530516614826197,0.725,4.716394837676797,0.09463108158296882,3.1959868254526618,0.987,5.421051851237923,0.10472389176238331,4.368298846168042,1.396,6.922966553277187,0.056322874235157555,3.1938711839800735,0.538,5.166639734773222
2004.02.12.13.12.39,0.07845338360094803,3.479966099073495,0.8200000000000001,5.59567962336675,0.09569390236174273,3.165848195193623,0.9059999999999999,4.9741936346228375,0.10870793053018833,5.072459026087738,1.7189999999999999,8.849400363967478,0.056179606561094525,3.2139803382727146,0.5760000000000001,5.340016037203006
